date,week_day,hour,ticket_number,waiter,product_name,quantity,unitary_price,total
11/13/2024,Wednesday,16:55,FCB 0003-000024735,0,Alfajor Super DDL x un,1,2700,2700
11/13/2024,Wednesday,16:55,FCB 0003-000024735,0,Alfajor Sin Azucar Suelto,1,2700,2700
10/4/2024,Friday,11:31,FCA 0003-000000038,51,Conito choc caja x12un,19,15675,297825
10/4/2024,Friday,14:00,FCA 0003-000000043,51,Alfajor Sin Azucar x9 Un,1,22500,22500
10/4/2024,Friday,14:00,FCA 0003-000000043,51,Alfajor 70 cacao caja x9un,1,22500,22500
10/4/2024,Friday,14:00,FCA 0003-000000043,51,Alf. 150 aniv. X 8 unidades,3,20000,60000
10/14/2024,Monday,12:50,FCA 0003-000000065,51,Alfajor mixto caja x6un,1,9500,9500
10/19/2024,Saturday,12:56,FCA 0003-000000076,51,Alfajor Sin Azucar Suelto,4,2500,10000
10/25/2024,Friday,13:26,FCA 0003-000000084,51,Alfajor 70 cacao x un,2,2500,5000
10/25/2024,Friday,13:26,FCA 0003-000000084,51,Conito choc caja x12un,1,16500,16500
10/25/2024,Friday,13:26,FCA 0003-000000084,51,Alfajor mixto caja x12un,1,18500,18500
11/14/2024,Thursday,9:40,FCA 0003-000000127,51,Alfajor mixto caja x6un,15,10000,150000
11/14/2024,Thursday,9:40,FCA 0003-000000127,51,Conito choc caja x6un,15,9000,135000
11/14/2024,Thursday,14:17,FCA 0003-000000130,51,Conito coco y ddl x 6 un,1,9000,9000
11/14/2024,Thursday,14:21,FCA 0003-000000132,51,Galletita limon caja x12un,1,13000,13000
11/14/2024,Thursday,15:36,FCA 0003-000000135,51,Alfajor mixto caja x6un,5,10000,50000
11/14/2024,Thursday,15:36,FCA 0003-000000135,51,Alfajor Sin Azucar Suelto,1,2700,2700
11/16/2024,Saturday,19:11,FCA 0003-000000138,51,Alfajor Super DDL x un,2,2700,5400
11/16/2024,Saturday,19:11,FCA 0003-000000138,51,Alf. 150 aniv. Suelto,3,2700,8100
11/16/2024,Saturday,19:11,FCA 0003-000000138,51,Alfajor 70 cacao x un,1,2700,2700
11/16/2024,Saturday,19:11,FCA 0003-000000138,51,Alfajor choc x un,2,2000,4000
11/19/2024,Tuesday,12:47,FCA 0003-000000140,51,Alfajor mini choc pouch x475g,2,22500,45000
11/19/2024,Tuesday,12:47,FCA 0003-000000140,51,Galletita limon caja x12un,1,13000,13000
9/22/2024,Sunday,11:16,FCB 0003-000000581,51,Alf. 150 aniv. X 8 unidades,1,17500,17500
9/22/2024,Sunday,11:16,FCB 0003-000000581,51,Conito coco y ddl x 6 un,2,7700,15400
9/22/2024,Sunday,11:19,FCB 0003-000000583,51,Alfajor mini choc pouch x475g,1,19600,19600
9/22/2024,Sunday,11:19,FCB 0003-000000583,51,Medallon choc limon pouch x200,1,5800,5800
9/22/2024,Sunday,11:19,FCB 0003-000000583,51,Alfajor choc caja x12un,2,17500,35000
9/22/2024,Sunday,11:19,FCB 0003-000000583,51,Conito mini choc pouch x112g,1,5500,5500
9/22/2024,Sunday,11:19,FCB 0003-000000583,51,Alfajor mini choc pouch x125g,3,6000,18000
9/22/2024,Sunday,11:27,FCB 0003-000000586,51,Alf. 150 aniv. Suelto,1,2100,2100
9/22/2024,Sunday,11:27,FCB 0003-000000586,51,Conito coco y ddl suelto,1,1500,1500
9/22/2024,Sunday,11:27,FCB 0003-000000586,51,Alfajor merengue fruta x un,1,1800,1800
9/22/2024,Sunday,11:27,FCB 0003-000000586,51,Alfajor 70 cacao x un,1,2100,2100
9/22/2024,Sunday,11:27,FCB 0003-000000586,51,Alfajor choc blanco nuez x un,1,1800,1800
9/22/2024,Sunday,11:27,FCB 0003-000000586,51,Alfajor choc x un,1,1800,1800
9/22/2024,Sunday,11:27,FCB 0003-000000589,51,Alfajor choc blanco nuez x un,1,1800,1800
9/22/2024,Sunday,11:27,FCB 0003-000000589,51,Alfajor choc blanco x un,1,1800,1800
9/22/2024,Sunday,11:27,FCB 0003-000000589,51,Alf. 150 aniv. Suelto,3,2100,6300
9/22/2024,Sunday,11:27,FCB 0003-000000589,51,Conito choc blanco x un,2,1500,3000
9/22/2024,Sunday,11:27,FCB 0003-000000589,51,Alfajor 70 cacao x un,1,2100,2100
9/22/2024,Sunday,11:27,FCB 0003-000000589,51,Alfajor choc x un,2,1800,3600
9/22/2024,Sunday,11:27,FCB 0003-000000589,51,Alfajor mini choc blanco pouch,1,6000,6000
9/22/2024,Sunday,11:29,FCB 0003-000000594,51,Alfajor semilia 70 cacao x un,3,2100,6300
9/22/2024,Sunday,11:29,FCB 0003-000000594,51,Alfajor mixto caja x6un,1,9000,9000
9/22/2024,Sunday,11:29,FCB 0003-000000594,51,Alfajor merengue fruta x un,3,1800,5400
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor surtido caja x12un,1,17500,17500
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
9/22/2024,Sunday,11:32,FCB 0003-000000597,51,Alfajor merengue fruta x un,1,0,0
